Var1	Freq
IG_C_gene	14
IG_C_pseudogene	9
IG_D_gene	37
IG_J_gene	18
IG_J_pseudogene	3
IG_pseudogene	1
IG_V_gene	145
IG_V_pseudogene	187
lncRNA	16888
miRNA	1879
misc_RNA	2212
Mt_rRNA	2
Mt_tRNA	22
polymorphic_pseudogene	49
processed_pseudogene	10163
protein_coding	19955
pseudogene	15
ribozyme	8
rRNA	47
rRNA_pseudogene	497
scaRNA	49
scRNA	1
snoRNA	943
snRNA	1901
sRNA	5
TEC	1056
TR_C_gene	6
TR_D_gene	4
TR_J_gene	79
TR_J_pseudogene	4
TR_V_gene	106
TR_V_pseudogene	33
transcribed_processed_pseudogene	502
transcribed_unitary_pseudogene	143
transcribed_unprocessed_pseudogene	950
translated_processed_pseudogene	2
translated_unprocessed_pseudogene	1
unitary_pseudogene	98
unprocessed_pseudogene	2614
vault_RNA	1
