variable	gene	gene_id	seqnames	logFC	CI.L	CI.R	P.Value	adj.P.Val
regulation of protein-containing complex assembly	CBLN1	ENSG00000102924.12	chr16	-0.670370705979539	-0.90592061021634	-0.434820801742739	3.44654640141141e-08	2.06617088978249e-05
negative regulation of hydrolase activity	WFDC3	ENSG00000124116.19	chr20	-0.603042383695413	-0.977161698304482	-0.228923069086343	0.0016251726226064	0.0162774035772979
regulation of cysteine-type endopeptidase activity involved in apoptotic process	WFDC3	ENSG00000124116.19	chr20	-0.603042383695413	-0.977161698304482	-0.228923069086343	0.0016251726226064	0.0162774035772979
blastocyst hatching	ZP3	ENSG00000188372.15	chr7	-0.593078950517355	-0.960782987559861	-0.225374913474849	0.00161413809034301	0.0162404507578257
Cytoplasmic ribosomal proteins	VENTX	ENSG00000151650.8	chr10	-0.532247638389382	-0.907323326052989	-0.157171950725776	0.00548899044282731	0.035515671282217
regulation of cysteine-type endopeptidase activity involved in apoptotic process	AQP1	ENSG00000240583.14	chr7	-0.525735042643079	-0.833697190935171	-0.217772894350987	0.000850227059227907	0.0106998849876037
negative regulation of hydrolase activity	AQP1	ENSG00000240583.14	chr7	-0.525735042643079	-0.833697190935171	-0.217772894350987	0.000850227059227907	0.0106998849876037
response to selenium ion	AQP1	ENSG00000240583.14	chr7	-0.525735042643079	-0.833697190935171	-0.217772894350987	0.000850227059227907	0.0106998849876037
water transport	AQP1	ENSG00000240583.14	chr7	-0.525735042643079	-0.833697190935171	-0.217772894350987	0.000850227059227907	0.0106998849876037
Cytoplasmic ribosomal proteins	POLR2I	ENSG00000105258.9	chr19	-0.486907850032336	-0.71046965218138	-0.263346047883291	2.19712764106681e-05	0.00126161381915994
cellular respiration	POLR2I	ENSG00000105258.9	chr19	-0.486907850032336	-0.71046965218138	-0.263346047883291	2.19712764106681e-05	0.00126161381915994
Pyrimidine metabolism	POLR2I	ENSG00000105258.9	chr19	-0.486907850032336	-0.71046965218138	-0.263346047883291	2.19712764106681e-05	0.00126161381915994
cellular respiration	ATP2A3	ENSG00000074370.18	chr17	-0.484136647788183	-0.729161591528863	-0.239111704047502	0.000115691106121144	0.0034446575440584
Pre-NOTCH Processing in Golgi	ATP2A3	ENSG00000074370.18	chr17	-0.484136647788183	-0.729161591528863	-0.239111704047502	0.000115691106121144	0.0034446575440584
regulation of cysteine-type endopeptidase activity involved in apoptotic process	ATP2A3	ENSG00000074370.18	chr17	-0.484136647788183	-0.729161591528863	-0.239111704047502	0.000115691106121144	0.0034446575440584
fatty acid transport	SLC1A6	ENSG00000105143.13	chr19	-0.47489216103681	-0.665350465824005	-0.284433856249614	1.2500361890225e-06	0.000216210527669586
regulation of protein-containing complex assembly	ARHGEF5	ENSG00000050327.15	chr7	-0.458749606127044	-0.725805173354294	-0.191694038899794	0.000789194709630428	0.0102595312251956
regulation of lipid catabolic process	APOC1	ENSG00000130208.10	chr19	-0.454274562075871	-0.715501710475803	-0.193047413675938	0.000679835639028149	0.00941612194173461
fatty acid transport	APOC1	ENSG00000130208.10	chr19	-0.454274562075871	-0.715501710475803	-0.193047413675938	0.000679835639028149	0.00941612194173461
negative regulation of hydrolase activity	APOC1	ENSG00000130208.10	chr19	-0.454274562075871	-0.715501710475803	-0.193047413675938	0.000679835639028149	0.00941612194173461
acylglycerol metabolic process	APOC1	ENSG00000130208.10	chr19	-0.454274562075871	-0.715501710475803	-0.193047413675938	0.000679835639028149	0.00941612194173461
regulation of protein-containing complex assembly	RANGRF	ENSG00000108961.14	chr17	-0.411780011035108	-0.622276876688785	-0.20128314538143	0.000134961936682627	0.00366328835108661
fatty acid transport	ERFE	ENSG00000178752.16	chr2	-0.411540678187809	-0.667784125741511	-0.155297230634106	0.0016893889447774	0.0166277608631352
regulation of protein-containing complex assembly	CHADL	ENSG00000100399.16	chr22	-0.410511910451878	-0.63594335473471	-0.185080466169047	0.000376282250335514	0.00655220089383345
small molecule catabolic process	HAAO	ENSG00000162882.15	chr2	-0.409855645050372	-0.665893625466449	-0.153817664634295	0.00174954311774939	0.0169380111610261
