variable	gene	gene_id	seqnames	logFC	CI.L	CI.R	P.Value	adj.P.Val
regulation of system process	TNNT2	ENSG00000118194.20	chr1	1.20737088403249	0.876891312946194	1.53785045511879	2.11341821876975e-12	2.99746105968113e-08
actin filament-based movement	TNNT2	ENSG00000118194.20	chr1	1.20737088403249	0.876891312946194	1.53785045511879	2.11341821876975e-12	2.99746105968113e-08
cell morphogenesis	TNNT2	ENSG00000118194.20	chr1	1.20737088403249	0.876891312946194	1.53785045511879	2.11341821876975e-12	2.99746105968113e-08
blood circulation	TNNT2	ENSG00000118194.20	chr1	1.20737088403249	0.876891312946194	1.53785045511879	2.11341821876975e-12	2.99746105968113e-08
serotonin receptor signaling pathway	MAS1	ENSG00000130368.7	chr6	0.980411551886778	0.650560204061016	1.31026289971254	8.63787120336538e-09	8.75078051980937e-06
forebrain development	MAS1	ENSG00000130368.7	chr6	0.980411551886778	0.650560204061016	1.31026289971254	8.63787120336538e-09	8.75078051980937e-06
cellular response to organonitrogen compound	MAS1	ENSG00000130368.7	chr6	0.980411551886778	0.650560204061016	1.31026289971254	8.63787120336538e-09	8.75078051980937e-06
regulation of anatomical structure size	ROS1	ENSG00000047936.11	chr6	0.967144571565214	0.657251746753048	1.27703739637738	1.58922948118001e-09	3.22000596165372e-06
regulation of anatomical structure size	TRIM54	ENSG00000138100.14	chr2	0.952633376098005	0.655581306986934	1.24968544520908	5.77785798720137e-10	2.72656538828476e-06
serotonin receptor signaling pathway	MCHR2	ENSG00000152034.11	chr6	0.948212580168475	0.647484081047077	1.24894107928987	1.09196591714295e-09	3.09747052056769e-06
modulation of chemical synaptic transmission	IL1B	ENSG00000125538.12	chr2	0.867964853886642	0.301323135986038	1.43460657178725	0.0027365936483308	0.0226051879524029
regulation of transmembrane transport	IL1B	ENSG00000125538.12	chr2	0.867964853886642	0.301323135986038	1.43460657178725	0.0027365936483308	0.0226051879524029
