gene_id	length	gc
ENSG00000227232	1351	0.493708364
ENSG00000279457	1397	0.567644953
ENSG00000228463	8224	0.399805447
ENSG00000225972	372	0.443548387
ENSG00000225630	1044	0.431034483
ENSG00000237973	1543	0.457550227
ENSG00000229344	682	0.453079179
ENSG00000248527	681	0.439060206
ENSG00000198744	547	0.482632541
ENSG00000237491	8413	0.419826459
ENSG00000228794	17958	0.478171289
ENSG00000188976	5540	0.610288809
ENSG00000187961	3402	0.649617872
ENSG00000272512	2086	0.661553212
ENSG00000188290	1118	0.748658318
ENSG00000187608	867	0.634371396
ENSG00000188157	10761	0.657838491
ENSG00000217801	1219	0.658736669
ENSG00000131591	6322	0.575608984
ENSG00000078808	4686	0.619504908
ENSG00000176022	2805	0.642067736
ENSG00000160087	4691	0.576849286
ENSG00000162572	4025	0.645714286
ENSG00000131584	8707	0.67600781
ENSG00000169972	2459	0.65351769
ENSG00000127054	8216	0.608081792
ENSG00000240731	386	0.494818653
ENSG00000224051	2555	0.666927593
ENSG00000107404	3882	0.679546625
ENSG00000162576	3622	0.622308117
ENSG00000175756	1381	0.660391021
ENSG00000221978	6842	0.514615609
ENSG00000224870	2532	0.59399684
ENSG00000242485	2767	0.539212143
ENSG00000272455	1523	0.49441891
ENSG00000235098	2644	0.634266263
ENSG00000205116	3217	0.589679826
ENSG00000179403	5065	0.668311945
ENSG00000215915	3981	0.56543582
ENSG00000160072	7686	0.612932605
ENSG00000197785	3344	0.657894737
ENSG00000205090	2009	0.734693878
ENSG00000160075	6919	0.556149733
ENSG00000215014	2349	0.510855683
ENSG00000228594	2124	0.707156309
ENSG00000286989	1830	0.644808743
ENSG00000272106	2038	0.57360157
ENSG00000197530	8723	0.666055256
ENSG00000248333	3490	0.514326648
ENSG00000189339	8462	0.532852753
ENSG00000227775	2759	0.548387097
ENSG00000215790	732	0.545081967
ENSG00000008130	5570	0.52513465
ENSG00000078369	9030	0.5213732
ENSG00000142609	10422	0.544809058
ENSG00000233542	2063	0.518177412
ENSG00000187730	5525	0.623710407
ENSG00000067606	7695	0.595061728
ENSG00000182873	1734	0.578431373
ENSG00000162585	10916	0.629901063
ENSG00000157933	6687	0.617167639
ENSG00000116151	11337	0.610302549
ENSG00000269896	2407	0.576235978
ENSG00000272420	568	0.360915493
ENSG00000157916	5689	0.535770786
ENSG00000157911	3782	0.656266526
ENSG00000149527	10809	0.658155241
ENSG00000157881	5072	0.58714511
