variable	gene	gene_id	seqnames	logFC	CI.L	CI.R	P.Value	adj.P.Val
Hemostasis	SERPINA5	ENSG00000188488.14	chr14	1.06568592514078	0.662581422907397	1.46879042737416	2.84216982088845e-07	1.24415106696484e-05
inflammatory response	HP	ENSG00000257017.9	chr16	0.995085197153033	0.507561437140016	1.48260895716605	6.87015484877036e-05	0.000839994881207845
positive regulation of immune response	HSPA1A	ENSG00000204389.10	chr6	0.979417375294338	0.536070318977163	1.42276443161151	1.68085351080103e-05	0.000287569907644041
inflammatory response	HSPA1A	ENSG00000204389.10	chr6	0.979417375294338	0.536070318977163	1.42276443161151	1.68085351080103e-05	0.000287569907644041
positive regulation of cytokine production	HSPA1A	ENSG00000204389.10	chr6	0.979417375294338	0.536070318977163	1.42276443161151	1.68085351080103e-05	0.000287569907644041
VEGFA-VEGFR2 signaling	HSPA1A	ENSG00000204389.10	chr6	0.979417375294338	0.536070318977163	1.42276443161151	1.68085351080103e-05	0.000287569907644041
negative regulation of cell population proliferation	HSPA1A	ENSG00000204389.10	chr6	0.979417375294338	0.536070318977163	1.42276443161151	1.68085351080103e-05	0.000287569907644041
negative regulation of cell population proliferation	SCIN	ENSG00000006747.15	chr7	0.847257694684979	0.50750651319716	1.1870088761728	1.24596957051458e-06	3.84164922143659e-05
actin filament-based process	SCIN	ENSG00000006747.15	chr7	0.847257694684979	0.50750651319716	1.1870088761728	1.24596957051458e-06	3.84164922143659e-05
regulation of cell activation	HLA-DRB5	ENSG00000198502.6	chr6	0.842262446617758	0.257051963147356	1.42747293008816	0.00486068059153435	0.0209096247587903
Osteoclast differentiation	HLA-DRB5	ENSG00000198502.6	chr6	0.842262446617758	0.257051963147356	1.42747293008816	0.00486068059153435	0.0209096247587903
cell activation	HLA-DRB5	ENSG00000198502.6	chr6	0.842262446617758	0.257051963147356	1.42747293008816	0.00486068059153435	0.0209096247587903
cellular response to cytokine stimulus	HLA-DRB5	ENSG00000198502.6	chr6	0.842262446617758	0.257051963147356	1.42747293008816	0.00486068059153435	0.0209096247587903
regulation of tumor necrosis factor superfamily cytokine production	HSPB1	ENSG00000106211.10	chr7	0.815010422038188	0.463135016065071	1.16688582801131	6.52165581550992e-06	0.000136425729249819
positive regulation of cell migration	HSPB1	ENSG00000106211.10	chr7	0.815010422038188	0.463135016065071	1.16688582801131	6.52165581550992e-06	0.000136425729249819
cell activation	HSPB1	ENSG00000106211.10	chr7	0.815010422038188	0.463135016065071	1.16688582801131	6.52165581550992e-06	0.000136425729249819
VEGFA-VEGFR2 signaling	HSPB1	ENSG00000106211.10	chr7	0.815010422038188	0.463135016065071	1.16688582801131	6.52165581550992e-06	0.000136425729249819
enzyme-linked receptor protein signaling pathway	HSPB1	ENSG00000106211.10	chr7	0.815010422038188	0.463135016065071	1.16688582801131	6.52165581550992e-06	0.000136425729249819
regulation of kinase activity	HSPB1	ENSG00000106211.10	chr7	0.815010422038188	0.463135016065071	1.16688582801131	6.52165581550992e-06	0.000136425729249819
positive regulation of cytokine production	HSPB1	ENSG00000106211.10	chr7	0.815010422038188	0.463135016065071	1.16688582801131	6.52165581550992e-06	0.000136425729249819
Hemostasis	HSPB1	ENSG00000106211.10	chr7	0.815010422038188	0.463135016065071	1.16688582801131	6.52165581550992e-06	0.000136425729249819
positive regulation of immune response	HSPA1B	ENSG00000204388.7	chr6	0.806210988797704	0.408314707759399	1.20410726983601	7.75346572212887e-05	0.000920229324995429
positive regulation of cytokine production	HSPA1B	ENSG00000204388.7	chr6	0.806210988797704	0.408314707759399	1.20410726983601	7.75346572212887e-05	0.000920229324995429
inflammatory response	HSPA1B	ENSG00000204388.7	chr6	0.806210988797704	0.408314707759399	1.20410726983601	7.75346572212887e-05	0.000920229324995429
negative regulation of cell population proliferation	HSPA1B	ENSG00000204388.7	chr6	0.806210988797704	0.408314707759399	1.20410726983601	7.75346572212887e-05	0.000920229324995429
